SK_CLIENTE;ID_CLIENTE_ORIGEM;NOME_CLIENTE;TIPO_CLIENTE;CPF_CNPJ;SEXO;FAIXA_ETARIA;DATA_NASCIMENTO;CIDADE;ESTADO;PAIS;SEGMENTO_CLIENTE;DATA_CADASTRO;DATA_INICIO_VIGENCIA;DATA_FIM_VIGENCIA;FL_REGISTRO_ATUAL;FL_ATIVO;DATA_CARGA;DATA_ATUALIZACAO_DW
1;CLI00001;Marcos Costa Santos;PF;204.332.581-35;Masculino;26-35;1990-10-20;Serra;ES;Brasil;Novo;2021-05-05;2025-01-01;;S;S;2026-07-01 10:00:00;
2;CLI00002;Marcos Martins Gomes;PF;954.776.222-59;Não informado;26-35;1990-03-14;Curitiba;PR;Brasil;Premium;2020-12-15;2025-01-01;;S;S;2026-07-01 10:00:00;
3;CLI00003;Natália Almeida Rodrigues;PF;842.262.274-26;Feminino;26-35;1997-08-26;São Paulo;SP;Brasil;Atacado;2021-08-30;2025-01-01;;S;S;2026-07-01 10:00:00;
4;CLI00004;Rafael Gomes Lima;PJ;259.661.661-26;Feminino;18-25;2006-11-04;São Paulo;SP;Brasil;Novo;2023-11-30;2025-01-01;;S;S;2026-07-01 10:00:00;
5;CLI00005;Gabriela Silva Pereira;PF;399.613.346-85;Masculino;36-50;1994-07-27;São Paulo;SP;Brasil;Premium;2023-01-08;2025-01-01;;S;S;2026-07-01 10:00:00;
6;CLI00006;Patrícia Gomes Ferreira;PJ;946.999.613-26;Não informado;26-35;1993-09-01;Recife;PE;Brasil;Recorrente;2021-08-04;2025-01-01;;S;S;2026-07-01 10:00:00;
7;CLI00007;Ana Martins Martins;PF;276.244.584-89;Não informado;18-25;1995-01-11;Recife;PE;Brasil;Premium;2021-11-11;2025-01-01;;S;S;2026-07-01 10:00:00;
8;CLI00008;Bruno Souza Souza;PJ;143.890.200-74;Masculino;18-25;1964-08-11;Rio de Janeiro;RJ;Brasil;Varejo;2023-06-14;2025-01-01;;S;S;2026-07-01 10:00:00;
9;CLI00009;Patrícia Nascimento Nascimento;PJ;619.353.815-76;Masculino;26-35;1988-03-14;Vitória;ES;Brasil;Novo;2022-07-11;2025-01-01;;S;S;2026-07-01 10:00:00;
10;CLI00010;Larissa Santos Gomes;PF;538.174.317-95;Masculino;18-25;1969-12-21;Curitiba;PR;Brasil;Recorrente;2023-08-02;2025-01-01;;S;S;2026-07-01 10:00:00;
11;CLI00011;Eduarda Almeida Souza;PF;507.598.266-95;Feminino;26-35;2005-07-17;Salvador;BA;Brasil;Ocasional;2022-08-23;2025-01-01;;S;S;2026-07-01 10:00:00;
12;CLI00012;Gabriela Costa Costa;PF;839.474.119-53;Não informado;51+;1988-12-01;Salvador;BA;Brasil;Ocasional;2022-02-07;2025-01-01;;S;S;2026-07-01 10:00:00;
13;CLI00013;William Pereira Nascimento;PF;215.907.334-23;Feminino;36-50;1977-01-25;São Paulo;SP;Brasil;Ocasional;2024-04-11;2025-01-01;;S;S;2026-07-01 10:00:00;
14;CLI00014;Otávio Azevedo Lima;PJ;515.252.649-75;Não informado;51+;2004-06-03;Belo Horizonte;MG;Brasil;Premium;2021-02-22;2025-01-01;;S;S;2026-07-01 10:00:00;
15;CLI00015;Felipe Rodrigues Lima;PF;375.117.749-21;Masculino;18-25;1998-04-03;Belo Horizonte;MG;Brasil;Premium;2022-06-17;2025-01-01;;S;S;2026-07-01 10:00:00;
16;CLI00016;Ana Costa Nascimento;PJ;374.736.232-15;Não informado;26-35;1967-03-09;Serra;ES;Brasil;Recorrente;2023-11-15;2025-01-01;;S;S;2026-07-01 10:00:00;
17;CLI00017;João Gomes Pereira;PF;396.556.612-96;Feminino;36-50;1982-01-09;Serra;ES;Brasil;Premium;2024-11-25;2025-01-01;;S;S;2026-07-01 10:00:00;
18;CLI00018;Sofia Nascimento Souza;PJ;351.557.208-94;Não informado;51+;2002-08-18;Salvador;BA;Brasil;Atacado;2023-04-12;2025-01-01;;S;S;2026-07-01 10:00:00;
